channel     z-pos[mm]   phi-pos[rad]
1159        -162        0.435937    
1160        -158        0.435937    
1161        -154        0.435937    
1162        -150        0.435937    
1163        -146        0.435937    
1164        -142        0.435937    
1165        -138        0.435937    
1166        -134        0.435937    
1167        -130        0.435937    
1168        -126        0.435937    
1169        -122        0.435937    
1170        -118        0.435937    
1171        -114        0.435937    
1172        -110        0.435937    
1173        -106        0.435937    
1174        -102        0.435937    
1175        -98         0.435937    
1176        -94         0.435937    
1177        -90         0.435937    
1178        -86         0.435937    
1179        -82         0.435937    
1180        -78         0.435937    
1181        -74         0.435937    
1182        -70         0.435937    
1183        -66         0.435937    
1184        -62         0.435937    
1185        -58         0.435937    
1186        -54         0.435937    
1187        -50         0.435937    
1188        -46         0.435937    
1189        -42         0.435937    
1190        -38         0.435937    
1191        -34         0.435937    
1192        -30         0.435937    
1193        -26         0.435937    
1194        -22         0.435937    
1195        -18         0.435937    
1196        -14         0.435937    
1197        -10         0.435937    
1198        -6          0.435937    
1199        -2          0.435937    
1200        2           0.435937    
1201        6           0.435937    
1202        10          0.435937    
1203        14          0.435937    
1204        18          0.435937    
1205        22          0.435937    
1206        26          0.435937    
1207        30          0.435937    
1208        34          0.435937    
1209        38          0.435937    
1210        42          0.435937    
1211        46          0.435937    
1212        50          0.435937    
1213        54          0.435937    
1214        58          0.435937    
1215        62          0.435937    
